extractor_model,evaluator_model,n_sentences,avg_overall,avg_correctness,avg_completeness,avg_no_hallucination,avg_format_quality,extraction_time_no_warmup_s,evaluation_time_no_warmup_s
openai/qwen2.5:32b,hermes3:8b,50,4.441,4.68,3.78,5.0,4.68,187.14203790063038,134.52140950015746
openai/hermes3:8b,hermes3:8b,50,4.171,4.38,3.48,5.0,4.32,81.3793125001248,152.022148799384
